G,NO,日付,店舗,店舗名,客数,点数,内税標準,内税軽減,外税標準,外税軽減,税合計,税抜売上,税抜売上(純額),税込売上,買上点数,客単価,点単価,POS粗利,POS粗利率%,粗利率%(純額),実粗利,実粗利率%,ロス額,ロス率%,ロス率（棚卸）,ロス率（廃棄）,来店会員数,総発行ﾎﾟｲﾝﾄ,ﾏｲﾊﾞｯｸﾞ客数,ﾏｲﾊﾞｯｸﾞﾎﾟｲﾝﾄ,ﾌﾟﾚﾊﾟｽ客数,ﾌﾟﾚﾊﾟｽﾎﾟｲﾝﾄ,株主客数,株主金額(税込み),株主値引(税込み),ﾚｼﾞ袋(税込み),お買物割引券発行金額,お買物割引券使用金額,500円券発行金額,500円券使用金額,追加500円券発行金額,追加500円券使用金額,dﾎﾟｲﾝﾄ付与者数,dﾎﾟｲﾝﾄ付与ﾎﾟｲﾝﾄ総数,dﾎﾟｲﾝﾄ利用者数,dﾎﾟｲﾝﾄ利用ﾎﾟｲﾝﾄ総数,AocaﾁｬｰｼﾞP付与回数,AocaﾁｬｰｼﾞP付与ﾎﾟｲﾝﾄ数
3,1,,0,◆◆◆総合計,11207,96449,62523,0,1154260,755924,1972707,21715803,21317255,23688510,8.61,1937.7,225.15,4173354,19.2,19.6,4017351,18.5,156003,0.7,-0.1,0.8,8007,499829,0,0,0,0,0,0,0,0,0,0,509500,454500,109500,109500,807,12510,78,77715,2486,31166
0,2,,471,豊住町,11207,96449,62523,0,1154260,755924,1972707,21715803,21317255,23688510,8.61,1937.7,225.15,4173354,19.2,19.6,4017351,18.5,156003,0.7,-0.1,0.8,8007,499829,0,0,0,0,0,0,0,0,0,0,509500,454500,109500,109500,807,12510,78,77715,2486,31166
