G,NO,日付,店舗,店舗名,客数,点数,内税標準,内税軽減,外税標準,外税軽減,税合計,税抜売上,税抜売上(純額),税込売上,買上点数,客単価,点単価,POS粗利,POS粗利率%,粗利率%(純額),実粗利,実粗利率%,ロス額,ロス率%,ロス率（棚卸）,ロス率（廃棄）,来店会員数,総発行ﾎﾟｲﾝﾄ,ﾏｲﾊﾞｯｸﾞ客数,ﾏｲﾊﾞｯｸﾞﾎﾟｲﾝﾄ,ﾌﾟﾚﾊﾟｽ客数,ﾌﾟﾚﾊﾟｽﾎﾟｲﾝﾄ,株主客数,株主金額(税込み),株主値引(税込み),ﾚｼﾞ袋(税込み),お買物割引券発行金額,お買物割引券使用金額,500円券発行金額,500円券使用金額,追加500円券発行金額,追加500円券使用金額,dﾎﾟｲﾝﾄ付与者数,dﾎﾟｲﾝﾄ付与ﾎﾟｲﾝﾄ総数,dﾎﾟｲﾝﾄ利用者数,dﾎﾟｲﾝﾄ利用ﾎﾟｲﾝﾄ総数,AocaﾁｬｰｼﾞP付与回数,AocaﾁｬｰｼﾞP付与ﾎﾟｲﾝﾄ数
3,1,,0,◆◆◆総合計,11229,90350,67740,0,1235904,705668,2009312,21955429,21955429,23964741,8.05,1955.24,243,4857694,22.1,22.1,4669784,21.3,187910,0.9,-0.1,0.9,8158,483241,1271,1271,0,0,12,378701,19926,0,0,0,494500,551500,143500,143500,662,10724,60,68666,2832,34431
0,2,,471,豊住町,11229,90350,67740,0,1235904,705668,2009312,21955429,21955429,23964741,8.05,1955.24,243,4857694,22.1,22.1,4669784,21.3,187910,0.9,-0.1,0.9,8158,483241,1271,1271,0,0,12,378701,19926,0,0,0,494500,551500,143500,143500,662,10724,60,68666,2832,34431
